dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_hamming,7,0.2,38,0.15690088249682263,0.007177525647892671
Apache,kmeans_hamming,8,0.2,38,0.15893757894147598,0.007018949403219488
Apache,kmeans_hamming,9,0.2,38,0.1604335832542786,0.008056532161797192
Apache,kmeans_hamming,10,0.2,38,0.15819915896460043,0.007229547357916525
Apache,kmeans_hamming,11,0.2,38,0.15888493903556272,0.0074356127635583
Apache,kmeans_hamming,12,0.2,38,0.15868582864280603,0.008418036877894577
Apache,kmeans_hamming,13,0.2,38,0.16502878492038062,0.009628363299908948
Apache,kmeans_hamming,14,0.2,38,0.16054601551002368,0.008629022850579414
Apache,kmeans_hamming,15,0.2,38,0.16126061010148998,0.009684973315699612
Apache,kmeans_hamming,16,0.2,38,0.1638827186210322,0.011963641774045778
Apache,kmeans_hamming,17,0.2,38,0.1620593585897779,0.00881567320023283
Apache,kmeans_hamming,18,0.2,38,0.1632496045818161,0.009658335940531108
Apache,kmeans_hamming,19,0.2,38,0.16561586357252242,0.011661483823781035
Apache,kmeans_hamming,20,0.2,38,0.1648613926977827,0.011426382470305498
Apache,kmeans_random,5,0.2,38,0.1621294531334859,0.010540740731582282
Apache,kmeans_random,6,0.2,38,0.16297570743635917,0.011869572209773164
Apache,kmeans_random,7,0.2,38,0.15920316794120035,0.008889686647968268
Apache,kmeans_random,8,0.2,38,0.16568027309835318,0.01368507575743425
Apache,kmeans_random,9,0.2,38,0.15883014418648397,0.008424575056334135
Apache,kmeans_random,10,0.2,38,0.16112489108039532,0.009452166098314408
Apache,kmeans_random,11,0.2,38,0.1608645427903651,0.010175877257545296
Apache,kmeans_random,12,0.2,38,0.15761642516091415,0.006359798476636604
Apache,kmeans_random,13,0.2,38,0.1617121822390715,0.011350580363286566
Apache,kmeans_random,14,0.2,38,0.1621125683269943,0.009531366874549769
Apache,kmeans_random,15,0.2,38,0.16016975350810705,0.007562318047279501
Apache,kmeans_random,16,0.2,38,0.15938243777003613,0.010682408607210174
Apache,kmeans_random,17,0.2,38,0.1620609801404637,0.0077339246863677045
Apache,kmeans_random,18,0.2,38,0.16040432287149728,0.00970088720660917
